mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__max_samples,param_rf__min_samples_leaf,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2199944496154784,0.02799973000039423,0.10499391555786133,0.009710534622544804,2,0.24686051337594092,0.6994257252997175,1,253,"{'rf__max_depth': 2, 'rf__max_features': 0.24686051337594092, 'rf__max_samples': 0.6994257252997175, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 253}",-40646.418239505714,-45800.58125126278,-38079.286942849925,-45975.23348808687,-42417.44849376678,-42583.793683094416,3030.553134790771,22
4.280424022674561,0.1882047281945538,0.14021172523498535,0.027104040734905254,8,0.1113040827974904,0.934161967173326,6,230,"{'rf__max_depth': 8, 'rf__max_features': 0.1113040827974904, 'rf__max_samples': 0.934161967173326, 'rf__min_samples_leaf': 6, 'rf__n_estimators': 230}",-26640.554710049808,-30966.068858600258,-26949.748120889144,-34235.93514506552,-31057.282160181305,-29969.917798957205,2848.8476844888028,11
10.082204103469849,0.8186674970617327,0.19029064178466798,0.0309414931142697,12,0.2116408732503865,0.9276401928766523,14,433,"{'rf__max_depth': 12, 'rf__max_features': 0.2116408732503865, 'rf__max_samples': 0.9276401928766523, 'rf__min_samples_leaf': 14, 'rf__n_estimators': 433}",-26986.906250032775,-31069.08085918367,-27256.2825901051,-34757.66872115957,-30954.348183180566,-30204.85732073233,2866.5663278799907,12
0.7543685913085938,0.029869204850454873,0.07201776504516602,0.010263497730042528,2,0.33565198570017474,0.8851014099880412,46,119,"{'rf__max_depth': 2, 'rf__max_features': 0.33565198570017474, 'rf__max_samples': 0.8851014099880412, 'rf__min_samples_leaf': 46, 'rf__n_estimators': 119}",-39871.8777522819,-45132.88949119652,-38376.96139812132,-46128.95982612659,-42618.135615671046,-42425.76481667948,2966.2883226518343,21
89.0552586555481,3.1299600346803365,0.3166831016540527,0.02390724733103126,8,0.6516567546709793,0.9472857462630487,1,890,"{'rf__max_depth': 8, 'rf__max_features': 0.6516567546709793, 'rf__max_samples': 0.9472857462630487, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 890}",-26058.348233196117,-27649.065584650725,-24014.382159630935,-29841.34681462939,-26083.445955354844,-26729.3177494924,1937.466732921811,4
5.877845191955567,0.2857022405146268,0.1638014316558838,0.02200352903762965,3,0.6797591073792629,0.8696211714438031,10,356,"{'rf__max_depth': 3, 'rf__max_features': 0.6797591073792629, 'rf__max_samples': 0.8696211714438031, 'rf__min_samples_leaf': 10, 'rf__n_estimators': 356}",-36576.66360017826,-38123.7789503995,-33984.754531526814,-39047.45354819387,-35741.23519911106,-36694.777165881904,1780.1431423094236,18
2.6242041110992433,0.07767756407562129,0.07169909477233886,0.016195351268157947,9,0.34209354788585394,0.6415182060815683,8,60,"{'rf__max_depth': 9, 'rf__max_features': 0.34209354788585394, 'rf__max_samples': 0.6415182060815683, 'rf__min_samples_leaf': 8, 'rf__n_estimators': 60}",-26157.972873481554,-29803.041078333685,-27021.295886689288,-33584.09168059896,-29992.63435076151,-29311.807173973,2613.440799066776,7
41.417155504226685,0.8681984023535189,0.28571147918701173,0.046102541273138294,13,0.19525569552282365,0.954049849499812,1,483,"{'rf__max_depth': 13, 'rf__max_features': 0.19525569552282365, 'rf__max_samples': 0.954049849499812, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 483}",-23492.54905025136,-27184.00939790364,-23354.96623281788,-30112.21252475191,-26171.338480701208,-26063.0151372852,2514.1673108730556,2
1.3080081462860107,0.09734560958422711,0.12759833335876464,0.014847625839909609,2,0.10527076484491114,0.6930708720449986,17,303,"{'rf__max_depth': 2, 'rf__max_features': 0.10527076484491114, 'rf__max_samples': 0.6930708720449986, 'rf__min_samples_leaf': 17, 'rf__n_estimators': 303}",-44293.779489712084,-48335.78921922696,-39783.20828958215,-49770.042967943045,-46050.02963455039,-45646.56992020292,3481.5732568781987,25
8.903323698043824,0.8774545510936211,0.165610408782959,0.020817570204932884,18,0.38348301416845043,0.5468543152046406,16,327,"{'rf__max_depth': 18, 'rf__max_features': 0.38348301416845043, 'rf__max_samples': 0.5468543152046406, 'rf__min_samples_leaf': 16, 'rf__n_estimators': 327}",-28376.506472315854,-32153.998280998116,-27271.674496465694,-35689.527218864205,-31762.971535623295,-31050.935600853438,2989.1691255638134,13
2.741909551620483,0.30538699218508797,0.2509169578552246,0.07275162912551256,2,0.14545541533028533,0.615570504758879,3,493,"{'rf__max_depth': 2, 'rf__max_features': 0.14545541533028533, 'rf__max_samples': 0.615570504758879, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 493}",-42044.88902888037,-46714.053213075415,-38561.49327388539,-47993.08773825294,-44226.444645283256,-43907.993579875474,3368.0736369276137,23
11.582093858718872,0.32796044089620263,0.08881192207336426,0.008222705675682469,22,0.2815070422194669,0.8609187143666784,3,152,"{'rf__max_depth': 22, 'rf__max_features': 0.2815070422194669, 'rf__max_samples': 0.8609187143666784, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 152}",-24064.934987153003,-27697.56154030659,-24109.977027014047,-30434.34404353213,-28126.26698753464,-26886.61691710808,2467.887729847718,5
